CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        CABRERA, JOSE A.;5000;153;405000;2647,1;2;3;3;;;FRENTE;;;SI;3;SI;SI;TERRAZA;;ARGENPROP.COM/PALERMO;5000 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;PALERMO;14;15.773.573.191;2
        SANABRIA;2400;49;105000;2142,9;;1;1;6;;;;;;1;;;BALCON;;ARGENPROP.COM/VILLADEVOTO;2400 SANABRIA;SANABRIA;100;L;MONTE CASTRO;10;2.625.868.961;3
        QUINTANA;500;80;350000;4375;13;3;2;;;CONTRAFRENTE;;SI;SI;2;SI;SI;TERRAZA;;BUSCAINMUEBLE/RECOLETA;500 QUINTANA;AV. PRESIDENTE QUINTANA;91;L;RECOLETA;2;6.146.826.409;2
        PARAGUAY;2400;131;260000;1984,7;;4;3;56;;;PISO;;;1;;SI;;;ARGENPROP.COM/BARRIONORTE;2400 PARAGUAY;PARAGUAY;100;L;RECOLETA;2;6.146.826.409;2
        CABRERA, JOSE A.;6000;68;230000;3382,4;;3;2;;;;;SI;SI;2;;;BALCON;;ARGENPROP.COM/PALERMO;6000 CABRERA, JOSE A.;JOSE ANTONIO CABRERA;91;L;PALERMO;14;15.773.573.191;2
        LARREA;1300;110;189000;1718,2;;3;2;25;;FRENTE;;;;0;SI;;;;INMUEBLESCLARIN.COM/BARIO NORTE;1300 LARREA;LARREA;100;L;RECOLETA;2;6.146.826.409;2
        LAVALLE;1500;39;75000;1923,1;;2;1;40;;LATERAL;;;;0;;;;;ARGENPROP.COM/BALVANERA;1500 LAVALLE;LAVALLE;100;L;SAN NICOLAS;1;2.288.975.233;1
        DE LOS INCAS;4200;105;179000;1704,8;;4;3;;;FRENTE;;;;2;SI;;;;ARGENPROP.COM/VILLAURQUIZA;4200 DE LOS INCAS;AV. DE LOS INCAS;100;L;VILLA ORTUZAR;15;1.853.740.362;3
        CHILE;1200;180;165000;916,7;PB;3;2;31;;FRENTE;;SI;;0;SI;SI;TERRAZA;;ZONAPROP.COM_MONSERRAT;1200 CHILE;CHILE;100;L;MONTSERRAT;1;2.200.624.563;1
        TRIUNVIRATO;5600;65;139000;2138,5;;3;2;6;;;;;SI;1;SI;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;5600 TRIUNVIRATO;AV. TRIUNVIRATO;100;L;VILLA URQUIZA;12;5.448.470.069;3
        CAFAYATE;1400;73;70000;958,9;;2;1;15;;;;;;0;;;;;ZONAPROP.COM_MATADEROS;1400 CAFAYATE;CAFAYATE;100;L;MATADEROS;9;7.398.564,74;4
        GAONA;2900;77;150000;1948,1;;4;3;30;;FRENTE;;;SI;1;SI;;;;ZONAPROP/FLORES;2900 GAONA;AV. GAONA;100;L;FLORES;7;8.594.550.061;3
        GASCON;1100;52;95000;1826,9;2;0;0;;A ESTRENAR;;;;;0;;;;;ARGENPROP.COM/ALMAGRO;1100 GASCON;GASCON;100;L;ALMAGRO;5;4.051.222.618;3
